depth,trees,class_weight,undersampling,threshold,accuracy_mean,FAR_mean,FRR_mean,accuracy_std,FAR_std,FRR_std
,300,balanced_subsample,True,0.5,0.9880952380952381,0.003333333333333333,0.1833333333333333,0.014953526731283162,0.008498365855987974,0.24664414311581234
10.0,300,balanced_subsample,True,0.5,0.9880952380952381,0.003333333333333333,0.1833333333333333,0.014953526731283162,0.008498365855987974,0.24664414311581234
20.0,300,balanced_subsample,True,0.5,0.9880952380952381,0.003333333333333333,0.1833333333333333,0.014953526731283162,0.008498365855987974,0.24664414311581234
30.0,300,balanced_subsample,True,0.5,0.9880952380952381,0.003333333333333333,0.1833333333333333,0.014953526731283162,0.008498365855987974,0.24664414311581234
,600,balanced_subsample,False,0.15,0.9880952380952381,0.0075,0.1,0.014085904245475287,0.011149240133549709,0.15275252316519466
10.0,600,balanced_subsample,False,0.15,0.9880952380952381,0.0075,0.1,0.014085904245475287,0.011149240133549709,0.15275252316519466
20.0,600,balanced_subsample,False,0.15,0.9880952380952381,0.0075,0.1,0.014085904245475287,0.011149240133549709,0.15275252316519466
30.0,600,balanced_subsample,False,0.15,0.9880952380952381,0.0075,0.1,0.014085904245475287,0.011149240133549709,0.15275252316519466
,100,balanced_subsample,False,0.15,0.9880952380952381,0.0075000000000000015,0.1,0.01495352673128317,0.013411230782859235,0.15275252316519466
10.0,100,balanced_subsample,False,0.15,0.9880952380952381,0.0075000000000000015,0.1,0.01495352673128317,0.013411230782859235,0.15275252316519466
20.0,100,balanced_subsample,False,0.15,0.9880952380952381,0.0075000000000000015,0.1,0.01495352673128317,0.013411230782859235,0.15275252316519466
30.0,100,balanced_subsample,False,0.15,0.9880952380952381,0.0075000000000000015,0.1,0.01495352673128317,0.013411230782859235,0.15275252316519466
,600,balanced_subsample,True,0.5,0.9873015873015873,0.003333333333333333,0.2,0.015552315827194789,0.008498365855987974,0.26666666666666666
10.0,600,balanced_subsample,True,0.5,0.9873015873015873,0.003333333333333333,0.2,0.015552315827194789,0.008498365855987974,0.26666666666666666
20.0,600,balanced_subsample,True,0.5,0.9873015873015873,0.003333333333333333,0.2,0.015552315827194789,0.008498365855987974,0.26666666666666666
30.0,600,balanced_subsample,True,0.5,0.9873015873015873,0.003333333333333333,0.2,0.015552315827194789,0.008498365855987974,0.26666666666666666
,300,balanced_subsample,False,0.15,0.9873015873015873,0.008333333333333333,0.1,0.013837774423938657,0.01118033988749895,0.15275252316519466
10.0,300,balanced_subsample,False,0.15,0.9873015873015873,0.008333333333333333,0.1,0.013837774423938657,0.01118033988749895,0.15275252316519466
20.0,300,balanced_subsample,False,0.15,0.9873015873015873,0.008333333333333333,0.1,0.013837774423938657,0.01118033988749895,0.15275252316519466
30.0,300,balanced_subsample,False,0.15,0.9873015873015873,0.008333333333333333,0.1,0.013837774423938657,0.01118033988749895,0.15275252316519466
,300,balanced,False,0.15,0.9873015873015873,0.008333333333333335,0.1,0.015552315827194798,0.013437096247164252,0.15275252316519466
,600,balanced,False,0.15,0.9873015873015873,0.008333333333333335,0.1,0.015552315827194798,0.013437096247164252,0.15275252316519466
10.0,300,balanced,False,0.15,0.9873015873015873,0.008333333333333335,0.1,0.015552315827194798,0.013437096247164252,0.15275252316519466
10.0,600,balanced,False,0.15,0.9873015873015873,0.008333333333333335,0.1,0.015552315827194798,0.013437096247164252,0.15275252316519466
20.0,300,balanced,False,0.15,0.9873015873015873,0.008333333333333335,0.1,0.015552315827194798,0.013437096247164252,0.15275252316519466
20.0,600,balanced,False,0.15,0.9873015873015873,0.008333333333333335,0.1,0.015552315827194798,0.013437096247164252,0.15275252316519466
30.0,300,balanced,False,0.15,0.9873015873015873,0.008333333333333335,0.1,0.015552315827194798,0.013437096247164252,0.15275252316519466
30.0,600,balanced,False,0.15,0.9873015873015873,0.008333333333333335,0.1,0.015552315827194798,0.013437096247164252,0.15275252316519466
,600,balanced,True,0.5,0.9865079365079366,0.003333333333333333,0.21666666666666665,0.015286793876395423,0.008498365855987974,0.2640496586292476
10.0,600,balanced,True,0.5,0.9865079365079366,0.003333333333333333,0.21666666666666665,0.015286793876395423,0.008498365855987974,0.2640496586292476
20.0,600,balanced,True,0.5,0.9865079365079366,0.003333333333333333,0.21666666666666665,0.015286793876395423,0.008498365855987974,0.2640496586292476
